Average Accuracy,40.91
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
589,She was busily searching through the neighbourhood for a proper situation for her daughter and without knowing or considering what their income might be rejected many as deficient in size and importance,She was but seizing that the next for a produced simpler for he daughter and with knowledge or considerateness whenever they insupportable might be restored man as despondency in silence and imagination,43.75
590,Haye Park might do said she if the Gouldings would quit it or the great house at Stoke if the drawingroom were larger but Ashworth is too far off,Has Paris minute doubt said s UNK if the God would quit its or the grave hour at UNK UNK if the dreadful room were landed but As UNK o fatal offer,3.4482758620689653
591,I could not bear to have her ten miles from me and as for Purvis Lodge the attics are dreadful Her husband allowed her to talk on without interruption while the servants remained,I could not be to have heard tears mine from me and as for Pursuing London that at are drew Henry hushed allow he to take on will into which they setting revolutions,39.39393939393939
592,But when they had withdrawn he said to her Mrs,But when those had with her said to her Mr,60.0
593,Bennet before you take any or all of these houses for your son and daughter let us come to a right understanding,Believe before your taste an o rather UNK of the hour for your solitude and dashed let us conversation to arrive UNK under,4.545454545454546
594,Into _one_ house in this neighbourhood they shall never have admittance,In UNK houses in the neither the shall never had admiration,27.27272727272727
595,I will not encourage the imprudence of either by receiving them at Longbourn A long dispute followed this declaration but Mr,I will not enjoy the improvement o UNK by residence that at London A love disappointed for the deposition but Mr,42.857142857142854
596,Bennet was firm it soon led to another and Mrs,Beaufort was fine it so lead to another and Mr,50.0
597,Bennet found with amazement and horror that her husband would not advance a guinea to buy clothes for his daughter,Beware for with amiable and how that he human would not advanced a guitar to but close for his daughter,50.0
598,He protested that she should receive from him no mark of affection whatever on the occasion,He probable that she should refrain from his no man of affection which on the occasion,68.75
599,Mrs,Mr,0.0
600,Bennet could hardly comprehend it,Before could had come it,40.0
601,That his anger could be carried to such a point of inconceivable resentment as to refuse his daughter a privilege without which her marriage would scarcely seem valid exceeded all that she could believe possible,The high and countenances be came to such a point of in returned as to region his daughter a provide with which her marriage would scarcely seldom vain exhibited all that she could been possessed,57.14285714285714
602,She was more alive to the disgrace which her want of new clothes must reflect on her daughters nuptials than to any sense of shame at her eloping and living with Wickham a fortnight before they took place,She was more allude to this district where he was of new clear must rely on her daughter s nurse this town and sense of she at UNK UNK and listening with William a for before then took pleasure,23.684210526315788
603,Elizabeth was now most heartily sorry that she had from the distress of the moment been led to make Mr,Elizabeth was no mother heart so that she had from the divine of the most before left to make Mr,60.0
604,Darcy acquainted with their fears for her sister for since her marriage would so shortly give the proper termination to the elopement they might hope to conceal its unfavourable beginning from all those who were not immediately on the spot,Darkness acquainted with these feelings for her sister for sickened her marriage would soon she girl that professors tears to the elevates than milk hovel to consider it until being from all the whom were not impressed on the springing,45.0
605,She had no fear of its spreading farther through his means,She had no fear of its speedily facts this his me,63.63636363636363
606,There were few people on whose secrecy she would have more confidently depended but at the same time there was no one whose knowledge of a sisters frailty would have mortified her so much,They were fearful perhaps on who series she would have more could despair but at the same time there was no one who knowledge of a s is from would have motionless he so music,52.94117647058824
607,Not however from any fear of disadvantage from it individually to herself for at any rate there seemed a gulf impassable between them,No however friend and feelings of discovery from its inhabitants to her for at and rank the sea UNK improved beneath them,26.08695652173913
608,Had Lydias marriage been concluded on the most honourable terms it was not to be supposed that Mr,Have Lynn UNK be conceived on the morning horrible terrible it was not to be suffered that Mr,50.0
609,Darcy would connect himself with a family where to every other objection would now be added an alliance and relationship of the nearest kind with the man whom he so justly scorned,Darkness would commence himself with a fair which to every o to UNK not be adduced and all and religions of the new kind with the man when he some just science,46.875
610,From such a connection she could not wonder that he should shrink,From such a cold she could not work that he should shore,75.0
611,The wish of procuring her regard which she had assured herself of his feeling in Derbyshire could not in rational expectation survive such a blow as this,The windows of property he revive what she had as he of his feelings in Devil could not in rather expect such success a bloody as them,44.44444444444444
612,She was humbled she was grieved she repented though she hardly knew of what,She was human she was ground should replied that she had knowledge of which,42.857142857142854
613,She became jealous of his esteem when she could no longer hope to be benefited by it,She be jewels of his especially when she could no longer horses to bend benumbed by it,64.70588235294117
614,She wanted to hear of him when there seemed the least chance of gaining intelligence,She was to hear of his when the seas this letter childless of game innocence,40.0
615,She was convinced that she could have been happy with him when it was no longer likely they should meet,She was continually the shifting could have been happy with him when it was not longer like that she me,60.0
616,What a triumph for him as she often thought could he know that the proposals which she had proudly spurned only four months ago would now have been gladly and gratefully received,When a travelled for him as she of the cottage he knew that the presence which she had produced spirit on for months again would not have been gloom and grew regularly,50.0
617,He was as generous she doubted not as the most generous of his sex,He was as gentle she do not ask the most generous of his services,71.42857142857143
618,But while he was mortal there must be a triumph,But when he was more the must be a traitor,60.0
619,She began now to comprehend that he was exactly the man who in disposition and talents would most suit her,She being not to concerning that he was examined the materials which in dirt and tastes wonderful more supple her,45.0
620,His understanding and temper though unlike her own would have answered all her wishes,His unknown and tearing the unnatural her own words hatred and all her wickedness,42.857142857142854
621,It was an union that must have been to the advantage of both by her ease and liveliness his mind might have been softened his manners improved and from his judgment information and knowledge of the world she must have received benefit of greater importance,It was an understand the murder had been to the admiration of bound by her ease and like his mind might have been so his marriage images and from his justice in and knew of the works she must had returned bearing of grief imagination,57.77777777777777
622,But no such happy marriage could now teach the admiring multitude what connubial felicity really was,But not suppose had man could not tear thus addressed murdered who could fellow revive wantonly,12.5
623,An union of a different tendency and precluding the possibility of the other was soon to be formed in their family,And unworthy of a distinct tears and precipices the powers of the other was so to be found in the fact,52.38095238095239
624,How Wickham and Lydia were to be supported in tolerable independence she could not imagine,How William and Lycurgus were to be sullen in to inflict she could not imagination,60.0
625,But how little of permanent happiness could belong to a couple who were only brought together because their passions were stronger than their virtue she could easily conjecture,But how lips of persuading had committed belonging to a country where we on brought to behold the pail were strange that the view she could easily conceived,35.714285714285715
626,Mr,Mr,100.0
627,Gardiner soon wrote again to his brother,UNK so wretched again to his breast,42.857142857142854
628,To Mr,To Mr,100.0
629,Bennets acknowledgments he briefly replied with assurances of his eagerness to promote the welfare of any of his family and concluded with entreaties that the subject might never be mentioned to him again,Beaufort UNK her brother resting with assurances of his eagerness to procure the weight of any of his father and cold will endeavour that the sun might never behold me to him again,57.57575757575758
630,The principal purport of his letter was to inform them that Mr,The produced purposes of his lecture was totally in the that Mr,50.0
631,Wickham had resolved on quitting the militia,With had rendered on quitted the miserable,42.857142857142854
632,It was greatly my wish that he should do so he added as soon as his marriage was fixed on,It was great myself with that he should down so her adduced as soon as UNK was fixed on,45.0
633,And I think you will agree with me in considering a removal from that corps as highly advisable both on his account and my nieces,And I thank you will again with me in could a received from the cottage as his advice bound on his accents and my n is,56.00000000000001
634,It is Mr,It is Mr,100.0
635,Wickhams intention to go into the Regulars and among his former friends there are still some who are able and willing to assist him in the army,With s induced to go in the Reuss and ameliorate his forth from they are still so which are abhor and wished to ask him in thou are,0.0
636,He has the promise of an ensigncy in Generals regiment now quartered in the north,He had the prospect of an enterprise in Geneva UNK UNK quit in the northern,46.666666666666664
637,It is an advantage to have it so far from this part of the kingdom,It is and added to have its so far from the part of this kind,60.0
638,He promises fairly and I hope among different people where they may each have a character to preserve they will both be more prudent,Her presence faith and I hope amidst discovery persons while the man earth has a charge to procure the will bound before more proceed,29.166666666666668
639,I have written to Colonel Forster to inform him of our present arrangements and to request that he will satisfy the various creditors of Mr,I have written to Constantinople For tools in his of our UNK UNK artifice and to redeem that he will said the various creature of Mr,24.0
640,Wickham in and near Brighton with assurances of speedy payment for which I have pledged myself,With in and new Britain with assemblage of spring pay for which I had placed myself,50.0
641,And will you give yourself the trouble of carrying similar assurances to his creditors in Meryton of whom I shall subjoin a list according to his information,And with you give you the traces of care situations a s to his crimes in Mexico of which I should subject a like according to his inferiors,18.51851851851852
642,He has given in all his debts I hope at least he has not deceived us,Her had given in all his destroyed I hope at length he had not decreased us,62.5
643,Haggerston has our directions and all will be completed in a week,Happy had our discovered and all will be construed in a week,66.66666666666666
644,They will then join his regiment unless they are first invited to Longbourn and I understand from Mrs,The with the joy his real under they are firm introduction to London and I understood from Mr,38.88888888888889
645,Gardiner that my niece is very desirous of seeing you all before she leaves the south,UNK this my night is very deal of severity you also be she lest their south,43.75
646,She is well and begs to be dutifully remembered to you and her motherYours etc,She is well and began to be duty resolution to you and her mother You eternal,66.66666666666666
647,E,UNK,0.0
648,GARDINER Mr,UNK Mr,50.0
649,Bennet and his daughters saw all the advantages of Wickhams removal from the shire as clearly as Mr,Beloved and his daughter sank although the admiration of William s received from the she UNK as Mr,33.33333333333333
650,Gardiner could do,UNK cottage doing,0.0
651,But Mrs,But Mr,50.0
652,Bennet was not so well pleased with it,Beaufort was no so weeks placed with it,50.0
653,Lydias being settled in the north just when she had expected most pleasure and pride in her company for she had by no means given up her plan of their residing in Hertfordshire was a severe disappointment and besides it was such a pity that Lydia should be taken from a regiment where she was acquainted with everybody and had so many favourites,Lynn s be seldom in the noble judge when she have experienced more pleasure and prevailed in her convenience for she had by no means girl up her placed of the received inflicted He was a see dignity and beauty it was sufficient a pilgrimage the Lynn she be taken from a remembering what she was acquainted with even and had so many family,0.0
654,She is so fond of Mrs,She is something followers of Mr,50.0
655,Forster said she it will be quite shocking to send her away,For said s UNK it will be quick shut to seek herself away,8.333333333333332
656,And there are several of the young men too that she likes very much,And they are secrets of the you mean to the she lived very murderer,42.857142857142854
657,The officers may not be so pleasant in Generals regiment His daughters request for such it might be considered of being admitted into her family again before she set off for the north received at first an absolute negative,They of man not be so plunge in Geneva s region His daughter s remained for such it might be countenance of beneficence advancement in her father again being she seat of food that now retard at first and abhorred nervous,10.256410256410255
658,But Jane and Elizabeth who agreed in wishing for the sake of their sisters feelings and consequence that she should be noticed on her marriage by her parents urged him so earnestly yet so rationally and so mildly to receive her and her husband at Longbourn as soon as they were married that he was prevailed on to think as they thought and act as they wished,But UNK and Elizabeth which agitation into with following the sake of the sister s feelings and contrast that she should be no on her may by her palpitated urged his so early yet so rain and so miserably to rest her and he human at London as soon as that were manner that he was principally only to them assuredly the that an action as they wind,8.955223880597014
659,And their mother had the satisfaction of knowing that she should be able to show her married daughter in the neighbourhood before she was banished to the north,And the moon had the same of knowledge that she should being able to shelter her many days in the never behold she was back to the northern,57.14285714285714
660,When Mr,What Mr,50.0
661,Bennet wrote again to his brother therefore he sent his permission for them to come and it was settled that as soon as the ceremony was over they should proceed to Longbourn,Before wretched again to him breeze that he secluded his perused for the to console and it was serviceable that as soon as the ceremony was over the should proceed to London,62.5
662,Elizabeth was surprised however that Wickham should consent to such a scheme and had she consulted only her own inclination any meeting with him would have been the last object of her wishes,Elizabeth was suppose however that William should come to such UNK and had she confer on her own inexperience and me with him words have been the language object of her wickedness,21.21212121212121
663,Illustration With an affectionate smile _Copyright 1894 by George Allen_ CHAPTER LI,I UNK With and affecting smiles UNK by Geneva Alas UNK UNK,8.333333333333332
664,Illustration Their sisters weddingday arrived and Jane and Elizabeth felt for her probably more than she felt for herself,I UNK The sister UNK dark are and UNK and Elizabeth feminine for her prize money that shore feelings for her,5.263157894736842
665,The carriage was sent to meet them at and they were to return in it by dinnertime,The can was seems to me that at and then were to reside in its by disorder,52.94117647058824
666,Their arrival was dreaded by the elder Miss Bennetsand Jane more especially who gave Lydia the feelings which would have attended herself had _she_ been the culprit and was wretched in the thought of what her sister must endure,These are was dry by the elements Milan Belrive and UNK more especially what gave Lynn the female who would have attended her had UNK between the cultivated and was written into the them of what he sickening music enemies,7.6923076923076925
667,They came,There came,50.0
668,The family were assembled in the breakfastroom to receive them,The family were assisted in the branches road to recall there,50.0
669,Smiles decked the face of Mrs,UNK deliver the fall of Mr,33.33333333333333
670,Bennet as the carriage drove up to the door her husband looked impenetrably grave her daughters alarmed anxious uneasy,Be assured the cause drawn up together the door he human loved imaginary grace he dark also and unwholesome,21.052631578947366
671,Lydias voice was heard in the vestibule the door was thrown open and she ran into the room,Lynn s UNK o was held in the very their door was thrown operation and she rather increased the room,5.555555555555555
672,Her mother stepped forwards embraced her and welcomed her with rapture gave her hand with an affectionate smile to Wickham who followed his lady and wished them both joy with an alacrity which showed no doubt of their happiness,He mother streamed for embraced her and we her with UNK a gave her happy with an affecting small to William who form his lake and with the boat joined with and all which she not doubt of that hands,15.384615384615385
673,Their reception from Mr,They returned from Mr,50.0
674,Bennet to whom they then turned was not quite so cordial,Beyond to which that the turn was not quitted so constructed,36.36363636363637
675,His countenance rather gained in austerity and he scarcely opened his lips,His country UNK a gave in autumn and heavenly s could UNK his life,8.333333333333332
676,The easy assurance of the young couple indeed was enough to provoke him,The earth aspect of the youth cottagers in was endeavouring to protect him,46.15384615384615
677,Elizabeth was disgusted and even Miss Bennet was shocked,Elizabeth was dilatory and even Milan Beaufort was she,55.55555555555556
678,Lydia was Lydia still untamed unabashed wild noisy and fearless,Lynn was Lynn strange undertaking union with not and fear,20.0
679,She turned from sister to sister demanding their congratulations and when at length they all sat down looked eagerly round the room took notice of some little alteration in it and observed with a laugh that it was a great while since she had been there,She turn from sight to sink despair the cold and who at length that although sat down looking eagerly round the road took notice of so like all in it and observed with UNK that it was a great who since she had been them,41.30434782608695
680,Wickham was not at all more distressed than herself but his manners were always so pleasing that had his character and his marriage been exactly what they ought his smiles and his easy address while he claimed their relationship would have delighted them all,With was now at all more distinctly that he but his manners were always some pleasure than had hitherto children and his mate bestowed existence when those our UNK and his each a d when he clouds that result would have destroyed they alone,34.090909090909086
681,Elizabeth had not before believed him quite equal to such assurance but she sat down resolving within herself to draw no limits in future to the impudence of an impudent man,Elizabeth had not been before his quitted equal to such as but she sat down remain with her to draw not like in fuel to the impotence of an impenetrable masquerades,54.83870967741935
682,_She_ blushed and Jane blushed but the cheeks of the two who caused their confusion suffered no variation of colour,UNK black and UNK blot but the chimney of the two which can that court such no variety of cousin,40.0
683,There was no want of discourse,There was no was of difficulties,66.66666666666666
684,The bride and her mother could neither of them talk fast enough and Wickham who happened to sit near Elizabeth began inquiring after his acquaintance in that neighbourhood with a goodhumoured ease which she felt very unable to equal in her replies,This brother and her mother complete need of the tale fair enemy and William which had to sincere never Elizabeth before in affluence him actor in the new without a good humour earth when she feelings very unlike to equal in her repentance,21.428571428571427
685,They seemed each of them to have the happiest memories in the world,The seemed each of the to have than haunted me in the world,61.53846153846154
686,Nothing of the past was recollected with pain and Lydia led voluntarily to subjects which her sisters would not have alluded to for the world,No of that past was replete with passed and Lycurgus less voice to support when he sickening would not have allotted to forget the worm,44.0
687,Only think of its being three months she cried since I went away it seems but a fortnight I declare and yet there have been things enough happened in the time,On the of it became the mountains shall crimes sister I were a UNK it sex but a for I demand animation yet that had been the ensuing had interested the tidings,6.451612903225806
688,Good gracious,Good grief,50.0
689,when I went away I am sure I had no more idea of being married till I came back again,who I were away I am sure I have no mother idea of be made time I carried back agony,55.00000000000001
690,though I thought it would be very good fun if I was Her father lifted up his eyes Jane was distressed Elizabeth looked expressively at Lydia but she who never heard nor saw anything of which she chose to be insensible gaily continued Oh mamma do the people hereabouts know I am married today,then I thought it would be very good full if I was Henry falsehood little up his eyes UNK was distant Elizabeth looking except at Lycurgus but she where neither he now say any of which she choose to be in gave countenance Oh man does the perhaps he knows I am made to dabble,50.0
691,I was afraid they might not and we overtook William Goulding in his curricle so I was determined he should know it and so I let down the side glass next to him and took off my glove and let my hand just rest upon the window frame so that he might see the ring and then I bowed and smiled like anything Elizabeth could bear it no longer,I was after they might not and wept over William God in his cursed sometimes I was destined he shall know it and sometimes I learned down the sister glance near to him any to of my gloom and leaning my habitation just returned upon the wind from sounds that he might sense the rise and that I bore and smiled life and Elizabeth could believing it no longer,56.52173913043478
692,She got up and ran out of the room and returned no more till she heard them passing through the hall to the diningparlour,She good up and race out of the room and read no more UNK UNK she hear then part through they had to the divine passions,41.66666666666667
693,She then joined them soon enough to see Lydia with anxious parade walk up to her mothers right hand and hear her say to her eldest sister Ah Jane I take your place now and you must go lower because I am a married woman It was not to be supposed that time would give Lydia that embarrassment from which she had been so wholly free at first,She this joined that some endeavoured to seek Lynn with and partly was up to her mother s UNK UNK harmless and her head said to her elapsed since Ah UNK I task you placed not and you must good long because I am a marriage woman It was not to be such this times words give Lycurgus the emotions from whom she had been so which from at first,10.294117647058822
694,Her ease and good spirits increased,He easily and good speak in,33.33333333333333
695,She longed to see Mrs,She longed to see Mr,80.0
696,Philips the Lucases and all their other neighbours and to hear herself called Mrs,Phillips this Lucerne and although the other necessity and told her her can Mr,21.428571428571427
697,Wickham by each of them and in the meantime she went after dinner to show her ring and boast of being married to Mrs,With by each of the and into the meantime she were after discovery to shelter her river and both of be made to Mr,54.166666666666664
698,Hill and the two housemaids,His and the two house,60.0
699,Well mamma said she when they were all returned to the breakfastroom and what do you think of my husband,We UNK she when they were already returned to the branches room and why do you that of my humanity,25.0
700,Is not he a charming man,Is not he a cheek man,83.33333333333334
701,I am sure my sisters must all envy me,I am supported my sight much always envelop me,44.44444444444444
702,I only hope they may have half my good luck,I once however the mainland had happy my good luxuriant,30.0
703,They must all go to Brighton,The murderous also good to Britain,16.666666666666664
704,That is the place to get husbands,This is that place to general humanity,42.857142857142854
705,What a pity it is mamma we did not all go Very true and if I had my will we should,What a pierced it is man were did not albatross good Very transmuted and if I had myself with were shade,52.38095238095239
706,But my dear Lydia I dont at all like your going such a way off,But my dear Lynn I do UNK all like you good such a was offspring,53.333333333333336
707,Must it be so Oh Lord,Much it be so Oh London,66.66666666666666
708,yes there is nothing in that,yet there is now invulnerable them,33.33333333333333
709,I shall like it of all things,I shall like it of all that,85.71428571428571
710,You and papa and my sisters must come down and see us,You and passions and my situation must come do any serious us,58.333333333333336
711,We shall be at Newcastle all the winter and I dare say there will be some balls and I will take care to get good partners for them all I should like it beyond anything said her mother,We should be at Newton all the window and I dare say thing will be so bare and I will UNK to gentle good pay for that all I should lived it beauty and said he mournfully,36.84210526315789
712,And then when you go away you may leave one or two of my sisters behind you and I dare say I shall get husbands for them before the winter is over I thank you for my share of the favour said Elizabeth but I do not particularly like your way of getting husbands Their visitors were not to remain above ten days with them,And that while young go away your may letters on or two of my silence became you and I dare say I shall gentle hundredfold for the be that with is over I thank you for my shadow of the fact s a Elizabeth but I doubted not pass little yourself was of generation human The visits were not to restore above ten days with them,38.46153846153847
713,Mr,Mr,100.0
714,Wickham had received his commission before he left London and he was to join his regiment at the end of a fortnight,With had restore his countenance behold her led London and he was to join his residence at the UNK far forced,50.0
715,No one but Mrs,No one but Mr,75.0
716,Bennet regretted that their stay would be so short and she made the most of the time by visiting about with her daughter and having very frequent parties at home,Believe remarked that the streets would be so short and she make the mode of this time by virtues about with her daughter and had very from parents a UNK home,56.666666666666664
717,These parties were acceptable to all to avoid a family circle was even more desirable to such as did think than such as did not,The paused weeping acorns to allude to avoid a UNK a city was ever more deeply to such as did that the such as distinguished nothing,16.0
718,Wickhams affection for Lydia was just what Elizabeth had expected to find it not equal to Lydias for him,William s affection for Lynn was just when Elizabeth had experienced to find it not equitable to Lyons s for himself,0.0
719,She had scarcely needed her present observation to be satisfied from the reason of things that their elopement had been brought on by the strength of her love rather than by his and she would have wondered why without violently caring for her he chose to elope with her at all had she not felt certain that his flight was rendered necessary by distress of circumstances and if that were the case he was not the young man to resist an opportunity of having a companion,She had scarcely never her pressed obliged to be safe from the reality of that that that elevates had been broken only by the structure of her lover rage them by his and she would have work which will violence cabin for her her chained to elevate with her at all had she not fellow cease that his flight was rest nearly by discovering of circumstances and if they were these catastrophe he was not thus young man to read an opening of half a companion,60.46511627906976
720,Lydia was exceedingly fond of him,Lynn was extreme folds of him,50.0
721,He was her dear Wickham on every occasion no one was to be put in competition with him,He was he dear William one every occupied no one was to be pursuit in continual with him,66.66666666666666
722,He did everything best in the world and she was sure he would kill more birds on the first of September than anybody else in the country,Her distant evidence be in the wonderful and she was supposed her words kindness more bitter on the first of Servox that UNK into the cottage,37.03703703703704
723,One morning soon after their arrival as she was sitting with her two elder sisters she said to Elizabeth Lizzy I never gave _you_ an account of my wedding I believe,One morning so after they are assuredly she was situations with her two elapsed since she said to Elizabeth Lives I never garden UNK a n account of my welfare I began,45.16129032258064
724,You were not by when I told mamma and the others all about it,You were not by which I to make and the other all abhor it,64.28571428571429
725,Are not you curious to hear how it was managed No really replied Elizabeth I think there cannot be too little said on the subject La,Are not you curse to her house it was many Now retire replied Elizabeth I thought that cannot bear to little sallies on the surrounding Lavenza,50.0
726,You are so strange,You are so story,75.0
727,But I must tell you how it went off,But I must tell you hope it were offer,66.66666666666666
728,We were married you know at St,We we made you knelt at Strasbourg,42.857142857142854
729,Clements because Wickhams lodgings were in that parish,Clerval s before William s love were into these papers,0.0
730,And it was settled that we should all be there by eleven oclock,And it was sensations they we shall all be that by UNK UNK o clock,53.84615384615385
731,My uncle and aunt and I were to go together and the others were to meet us at the church,My uncle and audible and I went to go to and the other were to me us at the chamber,70.0
732,Well Monday morning came and I was in such a fuss,We Moritz more calm and I was in such a fulfilled,54.54545454545454
733,I was so afraid you know that something would happen to put it off and then I should have gone quite distracted,I was so afford you know the society worse happen to pursue it of anguish then I should have gone quickly dispatched,59.09090909090909
734,And there was my aunt all the time I was dressing preaching and talking away just as if she was reading a sermon,And the waters my aunt all that time I was dreams presented and take away just as if she was restless a secret,65.21739130434783
735,However I did not hear above one word in ten for I was thinking you may suppose of my dear Wickham,How I did not hear above only worship in tears for I was the young may sum of my dear William,61.904761904761905
736,I longed to know whether he would be married in his blue coat,I looked to know why he would be made in his black countenance,61.53846153846154
737,Well and so we breakfasted at ten as usual I thought it would never be over for by the bye you are to understand that my uncle and aunt were horrid unpleasant all the time I was with them,We and so were brought at tears as UNK that UNK never beings over food by the by you are too until that my unfortunate and audible were hours until all that time I walked with them,12.82051282051282
738,If youll believe me I did not once put my foot out of doors though I was there a fortnight,If you UNK before me I did no one purpose my former out of doing that I was the a fortnight,5.0
739,Not one party or scheme or anything,No one passion or s UNK or another,28.57142857142857
740,To be sure London was rather thin but however the Little Theatre was open,To be such London was rage that but however that Lives This was opinion,50.0
741,Well and so just as the carriage came to the door my uncle was called away upon business to that horrid man Mr,We and some just as the cause came to the door my union was calm away upon but to the horrid many Mr,65.21739130434783
742,Stone,St,0.0
743,And then you know when once they get together there is no end of it,And themselves you know who on the general to there is no endowments o UNK it,40.0
744,Well I was so frightened I did not know what to do for my uncle was to give me away and if we were beyond the hour we could not be married all day,We I was so frightful I did not know what to do for my union was to give me away a n if were were before the house were could not be made already day,52.94117647058824
745,But luckily he came back again in ten minutes time and then we all set out,But lulled he carried back again in terror mind time and they were all sentiments out,56.25
746,However I recollected afterwards that if he _had_ been prevented going the wedding need not be put off for Mr,How I repeated after that if he UNK being proved good that were nearly not be pursuit of for Mr,40.0
747,Darcy might have done as well Mr,Darkness misfortunes had down as we Mr,28.57142857142857
748,Darcy repeated Elizabeth in utter amazement,Darkness replied Elizabeth in utterly amusement,33.33333333333333
749,Oh yes,Oh years,50.0
750,he was to come there with Wickham you know,he was to commence the will William you knowledge,44.44444444444444
751,But gracious me,But great me,66.66666666666666
752,I quite forgot,I quickly forever,33.33333333333333
753,I ought not to have said a word about it,I ought not to have saved a would absent it,70.0
754,I promised them so faithfully,I prophesied that somewhat fastidious,20.0
755,What will Wickham say,What with William satisfied,25.0
756,It was to be such a secret If it was to be a secret said Jane say not another word on the subject,It was to be such a sea I UNK it was to be a self same UNK a not answer would on the subjects,26.08695652173913
757,You may depend upon my seeking no further Oh certainly said Elizabeth though burning with curiosity we will ask you no questions Thank you said Lydia for if you did I should certainly tell you all and then Wickham would be so angry On such encouragement to ask Elizabeth was forced to put it out of her power by running away,You may deduce upon my senses none fulfilled Oh certainly said Elizabeth the burned with curiosity were with as you not quit The you said Lycurgus for if you did I should certainly tenderly you also and the William would be songs and One supernatural enough to as Elizabeth was forced to pursue it out of her possessed by rugged away,57.377049180327866
758,But to live in ignorance on such a point was impossible or at least it was impossible not to try for information,But to live in ignorant one such a point was impetuous o UNK at length it was impossible now to true for intercourse,36.36363636363637
759,Mr,Mr,100.0
760,Darcy had been at her sisters wedding,Darkness have been a UNK her sickbed s well,14.285714285714285
761,It was exactly a scene and exactly among people where he had apparently least to do and least temptation to go,It was excited UNK an explained among person when he had apparently less to do and less tempted to go,9.523809523809524
762,Conjectures as to the meaning of it rapid and wild hurried into her brain but she was satisfied with none,Could as to the means of its rage and with humanity in her brothers but she was UNK nothing,45.0
763,Those that best pleased her as placing his conduct in the noblest light seemed most improbable,The thoughts bestowed placed her as placed his companion in the northern like several months imagination,31.25
764,She could not bear such suspense and hastily seizing a sheet of paper wrote a short letter to her aunt to request an explanation of what Lydia had dropped if it were compatible with the secrecy which had been intended,She could not be such suffered and had seen UNK of passion wretched a she led to her aunt to record an expression of what Lynn had d UNK if it were content with the sea which had been inflamed,32.5
765,You may readily comprehend she added what my curiosity must be to know how a person unconnected with any of us and comparatively speaking a stranger to our family should have been amongst you at such a time,You may render consolation she advanced when my curiosity must be to know how a perfectly unacquainted with any of us and could spent a still to our father she had been a UNK at sunset a time,60.526315789473685
766,Pray write instantly and let me understand itunless it is for very cogent reasons to remain in the secrecy which Lydia seems to think necessary and then I must endeavour to be satisfied with ignorance Not that I _shall_ though she added to herself and she finished the letter and my dear aunt if you do not tell me in an honourable manner I shall certainly be reduced to tricks and stratagems to find it out Janes delicate sense of honour would not allow her to speak to Elizabeth privately of what Lydia had let fall Elizabeth was glad of ittill it appeared whether her inquiries would receive any satisfaction she had rather be without a confidante,Presently write instantly and let me until it until it is forever very could return to reside in the sea which Lynn severity towards the needle and that I must enter to be satiated with ignorant November that I UNK the she added to her and should fiend the lectures and my delight aunt if you do not tear me intentions an how manner I should certainly be restored to trader and strove to UNK UNK as deliver sensations of horror would not allow her to speak to Elizabeth praise of which Lynn had left fair Elizabeth was glad of its time it appetite when he instrument would renew and said she had rather be with a contented,17.094017094017094
767,Illustration I am sure she did not listen CHAPTER LII,UNK I am sure she did not like UNK UNK UNK,60.0
768,Illustration Elizabeth had the satisfaction of receiving an answer to her letter as soon as she possibly could,I UNK Elizabeth had the same of remorse and answer told her left as soon as she possible cousin,0.0
769,She was no sooner in possession of it than hurrying into the little copse where she was least likely to be interrupted she sat down on one of the benches and prepared to be happy for the length of the letter convinced her that it did not contain a denial,She was not something in powers of its the hut in the lively conversation whose she was least liable to be innocent should sat down on one of the best and proceeded to behold happy followed the lessons of the letters conducted health that it did not conceive a delight,54.0
770,RIGHT Gracechurch Street _Sept,R I Great St UNK,0.0
771,6_,UNK,0.0
772,My dear Niece I have just received your letter and shall devote this whole morning to answering it as I foresee that a _little_ writing will not comprise what I have to tell you,My dear Night I has just returned your letters and she despair these which morning to and its as I found UNK happiness UNK writhed with not consider which I had to tell you,44.11764705882353
773,I must confess myself surprised by your application I did not expect it from _you_,I must concerning my surrounded by your appeased I did not extract its from UNK,53.333333333333336
774,Dont think me angry however for I only mean to let you know that I had not imagined such inquiries to be necessary on _your_ side,D other through meaning and how for I on me to lecture you know that I had not improved sunk in to be nearly on UNK situation,0.0
775,If you do not choose to understand me forgive my impertinence,If you do not change to until me for my imagination,63.63636363636363
776,Your uncle is as much surprised as I am and nothing but the belief of your being a party concerned would have allowed him to act as he has done,You undiscovered is as much such as I am and none but the beauty of your before a UNK a compared would have altered him to acted as he hanging doing,40.0
777,But if you are really innocent and ignorant I must be more explicit,But if you are recorded in and ignominious I must be more explanations,69.23076923076923
778,On the very day of my coming home from Longbourn your uncle had a most unexpected visitor,On the very days of my conversation how from London your understand having amassed o unfortunate victim,41.17647058823529
779,Mr,Mr,100.0
780,Darcy called and was shut up with him several hours,Day can and was shut up with his several hours,70.0
781,It was all over before I arrived so my curiosity was not so dreadfully racked as _yours_ seems to have been,It was a UNK overcame before I are sorrowful my curiosity was not sorry dreadful radiant as UNK seemed to have been,9.523809523809524
782,He came to tell Mr,He came to tell Mr,100.0
783,Gardiner that he had found out where your sister and Mr,UNK that he had formed our whom you sixteen and Mr,45.45454545454545
